rosbagTimestamp,linear,x,y,z,angular,x,y,z
1.56095343624391E+018,,0.4,0,0,,0,0,0
1.56095343625146E+018,,0.4,0,0,,0,0,0
1.56095343625619E+018,,0.4,0,0,,0,0,0.0018779056
1.56095343627557E+018,,0.4,0,0,,0,0,0.0124169648
1.56095343632594E+018,,0.4,0,0,,0,0,0.0124169648
1.56095343637572E+018,,0.4,0,0,,0,0,0.0124169648
1.56095343640806E+018,,0.4,0,0,,0,0,0.0176864941
1.56095343641686E+018,,0.4,0,0,,0,0,0.0282255515
1.5609534364283E+018,,0.4,0,0,,0,0,0.033495082
1.56095343643147E+018,,0.4,0,0,,0,0,0.0440341383
1.56095343643547E+018,,0.4,0,0,,0,0,0.0493036687
1.56095343644345E+018,,0.4,0,0,,0,0,0.0598427296
1.56095343645145E+018,,0.4,0,0,,0,0,0.0651122555
1.56095343645944E+018,,0.4,0,0,,0,0,0.0756513119
1.56095343646747E+018,,0.4,0,0,,0,0,0.0809208423
1.56095343649694E+018,,0.4,0,0,,0,0,0.0914599031
1.56095343651147E+018,,0.4,0,0,,0,0,0.0967294335
1.56095343656392E+018,,0.4,0,0,,0,0,0.0967294335
1.56095343661163E+018,,0.4,0,0,,0,0,0.0967294335
1.56095343666425E+018,,0.4,0,0,,0,0,0.0967294335
1.56095343671174E+018,,0.4,0,0,,0,0,0.0967294335
1.56095343671545E+018,,0.4,0,0,,0,0,0.1072684944
1.56095343672751E+018,,0.4,0,0,,0,0,0.1125380248
1.56095343677816E+018,,0.4,0,0,,0,0,0.1125380248
1.56095343682918E+018,,0.4,0,0,,0,0,0.1125380248
1.5609534368782E+018,,0.4,0,0,,0,0,0.1125380248
1.56095343692806E+018,,0.4,0,0,,0,0,0.1125380248
1.56095343697814E+018,,0.4,0,0,,0,0,0.1125380248
1.56095343701583E+018,,0.4,0,0,,0,0,0.1230770767
1.56095343703145E+018,,0.4,0,0,,0,0,0.1283466071
1.56095343706349E+018,,0.4,0,0,,0,0,0.1388856679
1.56095343710749E+018,,0.4,0,0,,0,0,0.1441551983
1.56095343712746E+018,,0.4,0,0,,0,0,0.1546942592
1.56095343714945E+018,,0.4,0,0,,0,0,0.1599841297
1.56095343718408E+018,,0.4,0,0,,0,0,0.1705231905
